0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:0
0:-0,000112585685578639
0:0
0:9,35563967302073E-05
0:6,79328312651342E-05
0:0
0:4,50691879676932E-06
0:0
0:-7,14114056143268E-05
0:-7,14114056143268E-05
0:0
0:0
0:0
0:0
0:3,20497447092554E-05
0:0,00018103569921551
0:4,94061761020754E-05
0:0
0:-0,000229287433191108
0:0
0:9,50627415366811E-05
0:0
0:6,5916980312697E-05
0:0
0:0
0:9,37050337741074E-05
0:2,44755694085541E-05
0:0
0:0
0:8,92970847829806E-05
3,30421966146135E-05:0
0:0
0:0
0:0,000159540119715854
0:-9,37583148633397E-05
0:0
0:0,000130954803373657
0:1,01730901397915
0,0117333188034462:1,03860644528052
0,0323803673209464:2,04816612132385
0,0756076122022503:2,06660273640806
0,132659766920348:2,05972337878821
0,187536792296716:2,05972337878821
0,241778091628176:3,09454790526399
0,295466617287573:3,09454790526399
0,355804409044475:4,07102290650035
0,407749493420128:4,06652495200957
0,488042442805634:4,05527110866489
0,550576029921355:4,04798363868757
0,632745960358598:5,05608909504859
0,702085356316302:5,04083394215007
0,794787344480269:5,01886926166889
0,910955896409842:5,01492519777209
1,00430529217596:4,96492539680865
1,11011123306069:4,93507667404884
1,20447628333181:4,89004120323169
1,31441229139541:4,85829317049667
1,42779602601294:4,80473654001062
1,52580170067458:4,74596356623042
1,62427366878298:4,70420362183857
1,74761786193999:4,66959599940189
1,83810737367083:4,56033815024266
1,95710588929656:4,49512523977846
2,09780504729609:4,49479786653823
2,38382654512272:4,49479786653823
2,47310056510231:4,49479786653823
2,65767160278168:4,17311942311653
2,77572609401373:4,10747579513614
2,86890942862387:4,10747579513614
3,00766742778677:3,94503262229642
3,10239565696732:3,94503262229642
3,21419755085198:3,77049958172784
3,29881014009327:3,77049958172784
3,3847405111237:3,60382541259367
3,4747950685468:3,54262084542433
3,55262083155646:3,50026338400858
3,62812856432084:3,42827646269324
3,71162888140106:3,37829687327049
3,77494212788272:3,33606412405362
3,86939324186316:3,28479159570228
3,94207285325033:3,28479159570228
4,00560716068798:3,13535254906178
4,07257833086217:3,08817016645938
4,12049493413757:3,03790067222422
4,18515266567079:2,99102222544126
4,24014869322145:2,93926192066491
4,28436642173256:2,90780431631274
4,34776000965687:2,86404303553181
4,39049384687868:2,82383640376238
4,4531356913343:2,79214551917298
4,49031273715693:2,74889736025185
4,52786060030015:2,70931538540642
4,56013097149894:2,6808504457417
4,59299724527715:2,65832600651824
4,62911507135424:2,65832600651824
4,65097967245057:2,59753288853207
4,67489880985189:2,58130600014622
4,70809783256745:2,56340920923128
4,72299581193429:2,56906402445047
4,7389851953628:2,5257819824065
4,75314512975811:2,51427288594532
4,76285485409927:2,50456324965618
4,77179015597146:2,49878751240933
4,7776836841702:2,49331425062755
4,78260226236996:2,49062165156312
4,78508397892035:2,48916298187846
4,78646335511906:2,49002803593191
4,78603680255191:2,491747052628
4,7844742078752:2,49567785252394
4,7805845825408:2,50047514866668
4,77555033682736:2,5083602875727
4,77055295063808:2,51689171504674
4,76306079416164:2,52570644884739
4,75635676245326:2,53663561500562
4,74672387513382:2,54735115065111
4,73862305623245:2,56153858999528
4,72554407615359:2,5771998505984
4,70694374974305:2,5771998505984
4,69188528636615:2,61971139370998
4,67624625295701:2,61971139370998
4,66268048558867:2,65855018089727
4,65017245419947:2,65855018089727
4,63662968278126:2,68271813520057
4,62407315265076:2,71750177296812
4,61332189807066:2,73724719829813
4,59915033308362:2,76258591936017
4,58882217962228:2,78349702490872
4,57671342373011:2,80217193396495
4,56462040197203:2,82119721776824
4,55304536866528:2,8421792378429
4,54203838253897:2,8421792378429
4,53143173015482:2,86031922953985
4,52351935848297:2,87841982644595
4,51353178141054:2,89348013786774
4,50474702488242:2,91128106852808
4,49679659845967:2,93027475697558
4,49093637648859:2,94633847059213
4,4842652214048:2,96183370633136
4,47833338770508:2,97658167798982
4,47366720432646:2,98935554520082
4,46999508686882:3,0031720830623
4,46608740314916:3,01496367272814
4,46282998175784:3,02735371325509
4,46086386000156:3,04020344903113
4,45865921431013:3,05514902747924
4,45742620271791:3,05514902747924
4,45871651840603:3,08681043734481
4,46032512228487:3,08681043734481
4,46256164934347:3,10711326410367
4,4654055357225:3,10711326410367
4,46889489173051:3,11647775175704
4,47291709424479:3,12368835699731
4,47712754887401:3,12792732468947
4,48218506481208:3,13065273754541
4,48773682218425:3,13331045693413
4,49251112589247:3,13683444933216
4,49922756664653:3,13784550357815
4,50462757140778:3,13878328986516
4,51171669754227:3,14066159290674
4,51915223768497:3,14080630324256
